"Index" "VZ" "MRK" "CSCO" "PG" "JPM" "KO" "MSFT" "TRV" "NKE" "WBA" "MCD" "WMT" "HD" "BA" "AXP" "UTX" "PFE" "IBM" "CVX" "JNJ" "UNH" "MMM" "DIS" "INTC" "AAPL" "XOM" "CAT"
"1991-03-20" 3.734151 5.736619 0.155114 2.746276 1.390983 1.934446 0.993605 4.548076 0.041674 1.536228 4.434958 5.843996 2.19541 11.696498 2.313439 0.808208 0.471016 9.511996 3.262601 3.703635 0.950774 5.929051 6.365037 0.729693 0.338254 2.508418 1.531025
"1991-03-21" 3.791017 5.695151 0.145505 2.73396 1.338691 1.912311 0.95095 4.548076 0.040638 1.542251 4.274271 5.863671 2.229186 11.665557 2.367746 0.808208 0.474978 9.324462 3.262601 3.70878 0.938345 5.91211 6.169193 0.703986 0.323276 2.513906 1.508117
"1991-03-22" 3.791017 5.736619 0.141387 2.701121 1.286397 1.912311 0.940914 4.69356 0.041444 1.62057 4.322478 5.843996 2.296736 11.820266 2.411191 0.789315 0.471016 9.303625 3.262601 3.760219 0.963202 5.91211 6.21489 0.692121 0.315787 2.541351 1.473755
"1991-03-25" 3.828929 5.77118 0.13521 2.717542 1.338691 1.881325 0.986078 4.71088 0.041789 1.67479 4.322478 5.942378 2.347399 11.789327 2.454636 0.789315 0.475545 9.459901 3.288743 3.909394 0.956988 5.91211 6.032098 0.698053 0.322027 2.596239 1.496664
"1991-03-26" 3.86684 5.978526 0.137269 2.79143 1.422358 1.912311 1.055078 4.832118 0.041904 1.668765 4.354615 6.257205 2.420579 11.913097 2.606693 0.801911 0.489698 9.491158 3.3358 4.017416 1.022237 5.996809 6.227944 0.743536 0.349487 2.612707 1.492845
"1991-03-27" 3.819449 5.895588 0.145505 2.779116 1.432816 1.921164 1.081424 4.814796 0.041904 1.632618 4.467098 6.158822 2.437467 11.789327 2.606693 0.808208 0.489132 9.407806 3.278286 3.981411 1.031558 5.962932 6.227944 0.751446 0.345743 2.563307 1.485208
"1991-03-28" 3.895272 5.833385 0.133837 2.795536 1.453735 1.921164 1.065115 4.823456 0.04248 1.62057 4.467098 6.099794 2.431839 11.634614 2.508941 0.814506 0.484602 9.491158 3.22077 3.945401 0.97563 5.996809 6.21489 0.739581 0.339502 2.568794 1.4623
"1991-04-01" 3.876316 5.833385 0.12217 2.779116 1.380524 1.938871 1.071388 4.832118 0.042019 1.62057 4.354615 6.099794 2.409322 11.60367 2.532924 0.801911 0.489132 9.355721 3.178942 3.883673 0.963202 5.971403 6.130023 0.751446 0.341998 2.524883 1.450847
"1991-04-02" 3.961613 6.013083 0.14276 2.799642 1.47465 2.000844 1.126588 5.022628 0.04225 1.656716 4.483166 6.296559 2.499391 11.696498 2.656209 0.808208 0.514041 9.439068 3.226001 3.971121 1.037772 6.098453 6.273643 0.767265 0.363217 2.585262 1.466118
"1991-04-03" 3.914225 5.99926 0.144133 2.79143 1.558319 1.974284 1.141642 5.074589 0.039717 1.656716 4.451028 6.414622 2.527536 11.789327 2.656209 0.818704 0.519702 9.428647 3.199857 3.965975 1.047094 6.07304 6.280171 0.775176 0.349487 2.541351 1.481391
"1991-04-04" 3.955224 5.99235 0.140014 2.795536 1.600153 1.965432 1.141642 5.143867 0.040638 1.638643 4.563507 6.473651 2.527536 12.160641 2.588963 0.827101 0.521967 9.459901 3.189399 3.904248 1.003595 6.056101 6.306286 0.779131 0.356976 2.524883 1.489027
"1991-04-05" 3.877287 5.902501 0.137955 2.78322 1.600153 1.916739 1.104006 5.091906 0.040868 1.668765 4.595644 6.394944 2.454356 12.098762 2.544132 0.839697 0.514041 9.386973 3.142344 3.842522 1.016023 6.005281 6.247532 0.76331 0.346367 2.519395 1.450847
"1991-04-08" 3.887029 5.971614 0.14276 2.79143 1.610611 1.903458 1.117807 5.005311 0.041098 1.710936 4.563507 6.631067 2.488132 12.098762 2.532924 0.825002 0.516306 9.418222 3.178942 3.986552 1.009809 6.02222 6.31436 0.767265 0.349487 2.530373 1.469936
"1991-04-09" 3.848063 5.895588 0.140014 2.770906 1.547861 1.872471 1.106515 4.823456 0.040062 1.638643 4.418889 6.532684 2.459986 11.820266 2.454472 0.801911 0.50838 9.272372 3.152799 3.935114 0.984952 5.954464 6.234601 0.737603 0.343246 2.502928 1.450847
"1991-04-10" 3.83832 5.895588 0.139328 2.742171 1.526943 1.872471 1.078915 4.780158 0.039832 1.632618 4.40282 6.49333 2.471243 11.727442 2.488094 0.795613 0.502719 9.272372 3.131886 3.914538 0.991166 5.920581 6.168135 0.751446 0.333885 2.508418 1.431757
"1991-04-11" 3.896772 5.985438 0.149623 2.807851 1.579236 1.868044 1.114043 4.918712 0.040983 1.644667 4.547441 6.709774 2.527536 11.634614 2.476888 0.80401 0.506115 9.220277 3.189399 4.007129 1.016023 6.01375 6.114961 0.822636 0.35448 2.557817 1.44321
"1991-04-12" 3.964964 5.99926 0.156487 2.873533 1.568778 1.89903 1.076406 4.93603 0.040408 1.656716 4.515302 6.867186 2.617604 11.60367 2.454472 0.799811 0.515173 9.04316 3.252142 4.02256 1.040879 5.996809 6.141546 0.85823 0.358224 2.623684 1.431757
